User Name,Nickname,Favs,Rts,Favs+RTs,Tweet content,Hour,Date (YYYY-MM-DD),Date (DD-MM-YYYY),Time Code (UTC)
Emilio Rivera,EmilioRivera48,33,11,44,"Watch #HandofGod on #amazon for Free ,catch up on this Crazy sometimes Trippy ,but always… https://t.co/ScL2w8comR",22:11:42,2016-04-15,15-04-2016,2016-04-15T22:11:42Z
Fraag Malas,officialfraag,34,10,44,"Bye biaatchez🐱🔫 @ New York, New York https://t.co/FFojd0BSya",15:21:04,2016-04-14,14-04-2016,2016-04-14T15:21:04Z
HeForShe at Columbia,hfscolumbia,31,13,44,"Thank you to representatives of UN Women, the Fund for Gender Equality, Humanitarian Section,… https://t.co/uw2cKO6xRJ",02:17:38,2016-04-16,16-04-2016,2016-04-16T02:17:38Z
the other one,imfromraleigh,39,5,44,"yes (at @LukesLobster in New York, NY) https://t.co/plxuagWVE0 https://t.co/nCwB8UF97J",16:51:11,2016-04-15,15-04-2016,2016-04-15T16:51:11Z
Tommy Trinh,TomTTrinh,31,12,43,"Everyone in Alhambra, CA! Please help and keep on a lookout for our dear Briggy! She went… https://t.co/XK5rYt2YBR",00:20:06,2016-04-16,16-04-2016,2016-04-16T00:20:06Z
Chakal Chilango,ChakalChilango,24,19,43,"""@yuth2559: https://t.co/XsxQ0mno6D"" Se agradece cuando el macho te enseña como mamarle la verga.",08:30:33,2016-04-15,15-04-2016,2016-04-15T08:30:33Z
Mara P Castañeda,MaraCastaneda,32,11,43,@marlenefavela_ Mi querida Marlene un placer encontrarme contigo. Muchos besos querida! @ Mexico… https://t.co/9wkGLzalzO,10:11:22,2016-04-14,14-04-2016,2016-04-14T10:11:22Z
Rodner Figueroa,RodnerFigueroa,41,2,43,Feliz de ver al Gordiliscious rauldemolina y a cubapalm en NY!!! ernestomathies #friends @ New… https://t.co/oYEk3l3oDr,16:15:35,2016-04-15,15-04-2016,2016-04-15T16:15:35Z
Ben Bateman,benbatemanmedia,39,3,42,#tbt Forgot about this #lexa cosplay from @atorres890! The gang is back together! See ya'll at… https://t.co/T7Rj1O85JE,04:33:05,2016-04-15,15-04-2016,2016-04-15T04:33:05Z
Emilio Rivera,EmilioRivera48,34,8,42,Rite Now  with My Friend  streetevilusa who  Designed and made My #escorpion ring that I wear on… https://t.co/9NRiQjv8St,22:15:13,2016-04-14,14-04-2016,2016-04-14T22:15:13Z
WEREVERTUMORRO,werevertumorro,40,2,42,Separados al nacer @ STRANA NightClub Puerto Vallarta https://t.co/RnygzJwIVd,07:56:05,2016-04-15,15-04-2016,2016-04-15T07:56:05Z
Shalini Vadhera,ShalinisWorld,17,25,42,Thank you beautiful @daniel_pillai for the yummy incense and sage sticks. Loving it… https://t.co/3g1WlUVouT,04:57:25,2016-04-16,16-04-2016,2016-04-16T04:57:25Z
Marcelo Cordoba,MarcheloCordoba,30,11,41,"#Repost @simplemariatv with repostapp.
・・・
Todos a disfrutar de #SimplementeMaria en su etapa… https://t.co/FwKGD2yU3F",00:07:22,2016-04-16,16-04-2016,2016-04-16T00:07:22Z
Shaun Tai,shaun_tai,12,29,41,Overwhelmed by the support from #TheBerkeleyGroup #TBG &amp; #UCBerkeley /#students eager to #help… https://t.co/opXMGHDQ8k,03:08:17,2016-04-15,15-04-2016,2016-04-15T03:08:17Z
Chakal Chilango,ChakalChilango,27,13,40,"""@gladiator523: @Pcorros1 https://t.co/FFUFWZu5de""",08:55:42,2016-04-15,15-04-2016,2016-04-15T08:55:42Z
Jerome Aceti,JeromeASF,35,5,40,"I am getting my beard trimmed next week, I look like a Bacca 😂 @ Houston Intercontinental… https://t.co/nXjgGYaPSi",20:11:45,2016-04-15,15-04-2016,2016-04-15T20:11:45Z
eric morales,ericomoralesm,34,6,40,"aquí, casual, matando a Dieguito Verdaguer. https://t.co/upKpP9fQq1",00:56:42,2016-04-16,16-04-2016,2016-04-16T00:56:42Z
Danielle Clyde,daniellefclyde,27,11,38,:) @ The Saguaro Palm Springs https://t.co/215b7jS9cW,17:11:05,2016-04-15,15-04-2016,2016-04-15T17:11:05Z
Joel McHale,joelmchale,34,4,38,This is most likely @michaelstrahan &amp; I myself being attacked by a filter.  @IWC iwc #iwcff… https://t.co/GHS1jExlyR,16:34:47,2016-04-15,15-04-2016,2016-04-15T16:34:47Z
